Item name,Year,CPI
All items,1913,9.88461538462
All items,1914,9.932
All items,1915,9.9
All items,1916,10.7485714286
All items,1917,12.943902439
All items,1918,15.3765957447
All items,1919,17.4875
All items,1920,19.915625
All items,1921,17.4395061728
All items,1922,16.5091836735
All items,1923,16.8020408163
All items,1924,16.8040816327
All items,1925,17.3125
All items,1926,17.3109375
All items,1927,17.0328125
All items,1928,16.7625
All items,1929,16.784375
All items,1930,16.240625
All items,1931,14.7125
All items,1932,13.203125
All items,1933,12.6640625
All items,1934,13.121875
All items,1935,13.4258823529
All items,1936,13.6016528926
All items,1937,14.1533980583
All items,1938,13.8669902913
All items,1939,13.6961165049
All items,1940,13.7729323308
All items,1941,14.4739910314
All items,1942,16.0582959641
All items,1943,16.9964125561
All items,1944,17.2784753363
All items,1945,17.6815315315
All items,1946,19.1569506726
All items,1947,21.9657819905
All items,1948,23.8531550802
All items,1949,23.6235828877
All items,1950,23.9045454545
All items,1951,25.8378609626
All items,1952,26.4263157895
All items,1953,26.7291612903
All items,1954,26.8572903226
All items,1955,26.8216129032
All items,1956,27.2560645161
All items,1957,28.1552258065
All items,1958,28.8772258065
All items,1959,29.1638709677
All items,1960,29.6587261146
All items,1961,29.9697468354
All items,1962,30.2983544304
All items,1963,30.711875
All items,1964,31.0616184971
All items,1965,31.4974301676
All items,1966,32.4190607735
All items,1967,33.2913705584
All items,1968,34.692893401
All items,1969,36.6215
All items,1970,38.751
All items,1971,40.314
All items,1972,41.6225
All items,1973,44.1575
All items,1974,48.974
All items,1975,53.4285
All items,1976,56.5105
All items,1977,60.3418269231
All items,1978,64.9375838926
All items,1979,72.4356666667
All items,1980,82.3273333333
All items,1981,90.762
All items,1982,96.4623333333
All items,1983,99.7563333333
All items,1984,103.88872549
All items,1985,107.513235294
All items,1986,109.405060241
All items,1987,113.066908213
All items,1988,117.605555556
All items,1989,123.164492754
All items,1990,129.860628019
All items,1991,135.236231884
All items,1992,139.196135266
All items,1993,143.256763285
All items,1994,146.949758454
All items,1995,150.95
All items,1996,154.418809524
All items,1997,148.62259332
All items,1998,150.702834008
All items,1999,154.081376518
All items,2000,159.321659919
All items,2001,163.978744939
All items,2002,166.260160966
All items,2003,170.026760563
All items,2004,174.462575453
All items,2005,180.491146881
All items,2006,186.358752515
All items,2007,191.649014085
All items,2008,198.979400402
All items,2009,198.269162978
All items,2010,201.463979879
All items,2011,207.762086519
All items,2012,212.023642398